"filename_city","city_pretty","state","most_common_species","most_common_genus","Lat","Long","population","population_rank","number_trees","number_species","number_trees_filtered","Shannon_Wiener_Index","effective_species","max_abundance_most_common_species","max_abundance_most_common_genus","native_number_species","native_number_trees","native_Shannon_Wiener_Index","native_effective_species","number_trees_known_native_status","percent_native_trees","state_number_all_observed_species","state_number_native_species","shared_species_city_statenative","beta_diversity_city_statenative","nonnative_trees_NO_native_congener","nonnative_trees_YES_native_congener","nonnative_species_NO_native_congener","nonnative_species_YES_native_congener","nonnative_trees_PERCENTWITH_native_congeners","nonnative_species_PERCENTWITH_native_congeners","state_land_area_km2","number_species_iNext_all","number_species_asymest_all","number_species_asymest_SE_all","number_species_asymest_CIlower_all","number_species_asymest_CIhigher_all","effective_species_iNext_all","effective_species_asymest_all","effective_species_asymest_SE_all","effective_species_asymest_CIlower_all","effective_species_asymest_CIhigher_all","number_species_givenpop_all","number_species_givenpop_method_all","number_species_givenpop_CIlower_all","number_species_givenpop_CIhigher_all","effective_species_givenpop_all","effective_species_givenpop_method_all","effective_species_givenpop_CIlower_all","effective_species_givenpop_CIhigher_all","samplecoverage_estimate_all","number_species_iNext_native","number_species_asymest_native","number_species_asymest_SE_native","number_species_asymest_CIlower_native","number_species_asymest_CIhigher_native","effective_species_iNext_native","effective_species_asymest_native","effective_species_asymest_SE_native","effective_species_asymest_CIlower_native","effective_species_asymest_CIhigher_native","number_species_givenpop_native","number_species_givenpop_method_native","number_species_givenpop_CIlower_native","number_species_givenpop_CIhigher_native","effective_species_givenpop_native","effective_species_givenpop_method_native","effective_species_givenpop_CIlower_native","effective_species_givenpop_CIhigher_native","samplecoverage_estimate_native","Env_Long","Env_Lat","Annual_Mean_Temp","Mean_Diurnal_Range","Isothermality","Temp_Seasonality","Max_Temp_Warmest.Month","Min_Temp_Coldest_Month","Temp_Annual_Range","Mean_Temp_Wettest_Quarter","Mean_Temp_Driest_Quarter","Mean_Temp_Warmest_Quarter","Mean_Temp_Coldest_Quarter","Annual_Precip","Precip_Wettest_Month","Precip_Driest_Month","Precip_Seasonality","Precip_Wettest_Quarter","Precip_Driest_Quarter","Precip_Warmest_Quarter","Precip_Coldest_Quarter","city_incorporated_year","city_age_2021","tree_city_USA","tree_city_year","tree_city_age_2021","percent_cells_empty","skew_occupied_cells","kurtosis_occupied_cells"
"ColoradoSprings","Colorado Springs","Colorado","Pinus ponderosa","Pinus",38.8338816,-104.8213634,439886,41,25478,113,12769,3.17513774206341,23.9301158249053,0.150677421881118,0.192361903483455,19,3807,1.54136402839459,4.67095724594703,12557,0.303177510551883,3298,2720,19,2795,2888,5862,22,19,0.669942857142857,0.463414634146341,268431,113,137.044,13.309,121.728,179.232,23.93,24.067,0.264,23.93,24.585,133.129,"extrapolated",114.946,151.312,24.045,"extrapolated",23.586,24.504,0.9982,19,20.999,3.741,19.181,41.123,4.671,4.684,0.097,4.671,4.874,20.607,"extrapolated",16.824,24.389,4.681,"extrapolated",4.513,4.849,0.9995,-104.8125,38.8541666666667,90,161,41,8057,297,-94,391,197,-9,197,-9,414,72,9,62,191,32,191,32,1886,135,"yes",1977,44,0.833050127442651,4.03113041489474,22.8494734108036
"Columbus","Columbus","Ohio","Fraxinus pennsylvanica","Acer",39.9611755,-82.9987942,822553,15,151937,227,119826,3.84766724462348,46.8835676734967,0.0784637724700816,0.254348966220259,79,72250,3.02770300487167,20.6497457064104,118463,0.609895072723129,3146,2041,79,2110,17768,28445,31,31,0.615519442581092,0.5,105829,227,239.033,7.223,231.057,262.69,46.884,46.932,0.183,46.884,47.291,201.759,"interpolated",198.491,205.028,46.779,"interpolated",46.318,47.24,0.9998,79,85.25,7.552,79.973,119.13,20.65,20.662,0.087,20.65,20.833,68.926,"interpolated",67.52,70.331,20.58,"interpolated",20.405,20.754,0.9999,-82.9791666666667,39.9791666666667,108,117,31,9072,294,-75,369,201,-14,221,-14,957,103,54,20,302,184,288,184,1816,205,"yes",1979,42,0.389939122076258,2.0433645957177,10.6126802837035
"Dallas","Dallas","Texas","Quercus virginiana","Quercus",32.7766642,-96.7969879,1257676,9,6218,48,6198,2.66017932084522,14.2988529511914,0.19974185221039,0.34102274560413,30,4535,2.14007365471298,8.50006367558049,6133,0.73944236099788,5685,4682,30,4670,745,853,6,4,0.533792240300375,0.4,676587,48,53.999,7.335,48.921,87.081,14.299,14.362,0.204,14.299,14.762,53.781,"extrapolated",39.891,67.671,14.363,"extrapolated",13.945,14.78,0.9994,30,31,2.317,30.069,44.395,8.5,8.529,0.162,8.5,8.846,30.91,"extrapolated",28.936,32.884,8.521,"extrapolated",8.206,8.836,0.9996,-96.8125,32.7708333333333,187,120,34,7894,356,11,345,229,96,287,83,912,130,48,31,315,167,192,167,1856,165,"yes",2005,16,NA,NA,NA
"Denver","Denver","Colorado","Fraxinus pennsylvanica","Acer",39.7392358,-104.990251,649495,22,284739,290,271430,3.89699993409449,49.2544606009499,0.0948163430718786,0.145256471648686,38,35507,2.55465129782036,12.8668121897171,263035,0.134989640161956,3298,2720,38,2934,99094,128434,65,23,0.56447558102739,0.261363636363636,268431,290,320.083,19.273,299.531,384.949,49.254,49.284,0.127,49.254,49.532,243.864,"interpolated",241.768,245.96,49.085,"interpolated",48.782,49.387,0.9999,38,38,0.519,38,39.438,12.867,12.874,0.071,12.867,13.012,36.608,"interpolated",35.762,37.455,12.849,"interpolated",12.698,13.001,1,-104.979166666667,39.7291666666667,101,153,38,8359,308,-86,394,186,-1,213,-1,404,67,13,46,162,44,135,44,1861,160,"yes",1986,35,0.307216494845361,1.16359671345235,5.34158165957928
"DesMoines","Des Moines","Iowa","Fraxinus pennsylvanica","Acer",41.6005448,-93.6091064,207510,104,16875,70,13667,3.31595507687566,27.5486925431994,0.11399721958001,0.261626067700095,34,9866,2.87226115835511,17.6769434125023,12161,0.811281966943508,2274,1653,34,1655,690,1605,14,8,0.699346405228758,0.363636363636364,144669,70,74,5.291,70.557,98.718,27.549,27.624,0.261,27.549,28.136,73.274,"extrapolated",67.53,79.019,27.611,"extrapolated",27.124,28.097,0.9997,34,34.5,1.323,34.03,42.441,17.677,17.707,0.156,17.677,18.012,34.013,"extrapolated",32.334,35.693,17.677,"extrapolated",17.385,17.97,0.9999,-93.6041666666667,41.6041666666667,95,118,27,10759,301,-124,425,206,-52,227,-52,839,121,23,46,323,80,321,80,1851,170,"yes",1992,29,0.997354497354497,0.704138515792841,1.5
"Detroit","Detroit","Michigan","Populus","Quercus",42.331427,-83.0457538,688701,18,20963,84,16155,3.55171015000869,34.8729044195797,0.0789848344165893,0.123633641128026,36,8395,2.84660667167,17.2292181398128,14059,0.59712639590298,3099,2041,36,2053,2489,3175,13,15,0.56055790960452,0.535714285714286,146435,84,126.247,38.521,93.198,278.049,34.873,35,0.229,34.873,35.449,97.844,"extrapolated",83.409,112.279,34.956,"extrapolated",34.445,35.468,0.9992,36,60.497,31.105,39.589,203.19,17.229,17.285,0.128,17.229,17.536,37.302,"extrapolated",31.945,42.66,17.237,"extrapolated",16.991,17.483,0.9992,-83.0625,42.3125,95,95,26,9519,281,-81,362,214,-19,214,-31,829,89,45,18,252,158,252,164,1806,215,"yes",1987,34,0.625070901871809,6.68430669565398,63.7497813299131
"Durham","Durham","North Carolina","Lagerstroemia","Quercus",35.9940329,-78.898619,245475,82,16030,126,15394,3.27636674733349,26.4793913976829,0.201572041054956,0.265471804159121,65,8168,2.85435222922557,17.3631861994415,12199,0.669563078940897,3990,2931,65,2927,1358,2673,19,16,0.663110890597867,0.457142857142857,125920,126,156.081,19.272,135.531,220.944,26.479,26.617,0.346,26.479,27.296,143.685,"extrapolated",129.951,157.419,26.58,"extrapolated",25.922,27.237,0.9988,65,77.498,17.137,66.665,158.823,17.363,17.444,0.275,17.363,17.982,66.073,"extrapolated",61.48,70.666,17.378,"extrapolated",16.874,17.883,0.9994,-78.8958333333333,35.9791666666667,149,132,38,7634,317,-23,340,245,102,245,47,1145,113,79,12,323,250,323,276,1869,152,"yes",1983,38,0.740502253702511,3.11537304370795,14.207933235254
"Fresno","Fresno","California","Cedrus deodara","Quercus",36.7468422,-119.7725868,509924,34,6980,57,6069,3.08338957357386,21.8322792367297,0.123414071510957,0.264539121982828,7,883,1.06584049854859,2.90327815993371,5995,0.147289407839867,7264,5571,7,5614,2847,2265,19,14,0.443075117370892,0.424242424242424,403466,57,101.993,30.376,70.536,206.548,21.832,21.989,0.274,21.832,22.526,87.498,"extrapolated",60.032,114.965,21.988,"extrapolated",21.446,22.53,0.9984,7,7,0.19,7,7.411,2.903,2.913,0.102,2.903,3.114,7,"extrapolated",6.584,7.416,2.913,"extrapolated",2.727,3.1,1,-119.770833333333,36.7291666666667,169,153,44,6841,366,24,342,100,256,256,82,272,52,0,83,146,3,3,137,1885,136,"no",NA,0,NA,NA,NA
"GardenGrove","Garden Grove","California","Lagerstroemia indica","Lagerstroemia",33.7739053,-117.9414477,175140,135,17522,210,17254,3.54332361100747,34.5816644014696,0.136663961979831,0.136088186067986,14,399,1.75879221269394,5.80542144404114,14870,0.0268325487558843,7264,5571,14,5753,11560,2911,92,24,0.201160942574805,0.206896551724138,403466,210,221.39,5.888,214.388,239.562,34.582,34.819,0.383,34.582,35.57,220.634,"extrapolated",209.343,231.925,34.748,"extrapolated",33.98,35.516,0.9984,14,18.489,7.177,14.494,54.82,5.805,5.941,0.273,5.805,6.475,18.489,"extrapolated",6.896,30.082,5.941,"extrapolated",5.295,6.587,0.9925,-117.9375,33.7708333333333,175,119,55,3342,283,68,215,139,213,221,135,300,66,0,91,175,4,9,166,1956,65,"no",NA,0,0.0685483870967742,1.6279196682063,8.27123268950492
"GrandRapids","Grand Rapids","Michigan","Acer platanoides","Acer",42.9633599,-85.6680863,192294,123,84361,155,67554,3.09786259322796,22.150555899696,0.302469135802469,0.485512357318671,61,32389,2.85950877455793,17.4529514967008,67355,0.480870017073714,3099,2041,61,2074,5509,29457,29,28,0.842446948464222,0.491228070175439,146435,155,169.222,9.341,159.397,200.998,22.151,22.179,0.134,22.151,22.443,144.548,"interpolated",140.498,148.597,22.127,"interpolated",21.854,22.401,0.9998,61,62,1.871,61.09,72.064,17.453,17.47,0.12,17.453,17.705,57.029,"interpolated",55.789,58.269,17.415,"interpolated",17.142,17.689,0.9999,-85.6875,42.9791666666667,86,110,29,9450,280,-93,373,194,-29,203,-40,885,100,37,22,266,153,251,160,1850,171,"yes",1998,23,NA,NA,NA
